Depth First Search
Goal Found
Final Number of States Visited: 559
Final Path
Length: 558
[33, 25, 0, 67, 65, 1]
[35, 25, 1, 65, 65, 0]
[34, 25, 0, 66, 65, 1]
[34, 26, 1, 66, 64, 0]
[33, 26, 0, 67, 64, 1]
[35, 26, 1, 65, 64, 0]
[34, 26, 0, 66, 64, 1]
[36, 26, 1, 64, 64, 0]
[35, 26, 0, 65, 64, 1]
[35, 27, 1, 65, 63, 0]
[34, 27, 0, 66, 63, 1]
[36, 27, 1, 64, 63, 0]
[35, 27, 0, 65, 63, 1]
[37, 27, 1, 63, 63, 0]
[36, 27, 0, 64, 63, 1]
[36, 28, 1, 64, 62, 0]
[35, 28, 0, 65, 62, 1]
[37, 28, 1, 63, 62, 0]
[36, 28, 0, 64, 62, 1]
[38, 28, 1, 62, 62, 0]
[37, 28, 0, 63, 62, 1]
[37, 29, 1, 63, 61, 0]
[36, 29, 0, 64, 61, 1]
[38, 29, 1, 62, 61, 0]
[37, 29, 0, 63, 61, 1]
[39, 29, 1, 61, 61, 0]
[38, 29, 0, 62, 61, 1]
[38, 30, 1, 62, 60, 0]
[37, 30, 0, 63, 60, 1]
[39, 30, 1, 61, 60, 0]
[38, 30, 0, 62, 60, 1]
[40, 30, 1, 60, 60, 0]
[39, 30, 0, 61, 60, 1]
[39, 31, 1, 61, 59, 0]
[38, 31, 0, 62, 59, 1]
[40, 31, 1, 60, 59, 0]
[39, 31, 0, 61, 59, 1]
[41, 31, 1, 59, 59, 0]
[40, 31, 0, 60, 59, 1]
[40, 32, 1, 60, 58, 0]
[39, 32, 0, 61, 58, 1]
[41, 32, 1, 59, 58, 0]
[40, 32, 0, 60, 58, 1]
[42, 32, 1, 58, 58, 0]
[41, 32, 0, 59, 58, 1]
[41, 33, 1, 59, 57, 0]
[40, 33, 0, 60, 57, 1]
[42, 33, 1, 58, 57, 0]
[41, 33, 0, 59, 57, 1]
[43, 33, 1, 57, 57, 0]
[42, 33, 0, 58, 57, 1]
[42, 34, 1, 58, 56, 0]
[41, 34, 0, 59, 56, 1]
[43, 34, 1, 57, 56, 0]
[42, 34, 0, 58, 56, 1]
